piece,run,episode,stroke,duration_s,duration_error_s,drift_s,window_s,dbfs_raw,dbfs_model,dynamic_zone,dynamic_zone_hit,dynamic_distance_db,dynamic_centre_error_db,quality_eff,overall,tone_quality,attack_quality,release_quality,bow_control,dynamic_accuracy,defect_score,bow_speed_measured,depth_m,bow_position,force_mean,force_std,torque_mean,torque_max,bow_usage_m,smoothness_jerk,logged_quality,logged_tone
vocalise,Base1,0,1,2.357564926147461,-0.04243507385253764,0.0019509315490724433,0.5,-17.316618703354447,-22.676618703354446,mf,1,0.0,-0.20706877572304094,0.7619861930608749,0.7290823459625244,0.7067937254905701,0.9124624729156494,0.7096736431121826,0.8089279532432556,0.6994953155517578,0.017086267471313477,0.16428758663924325,0.0005363636363636365,0.5561150689191772,0.24996632317017276,0.2897857361403206,0.4273409050568896,0.8255092058230539,4.460626731166973,9875.415874679888,,
vocalise,Base1,0,2,1.4855690002441406,-0.014430999755859597,0.0020087242126463067,0.5,-15.461191124417956,-20.821191124417957,mf,0,0.3935972403166197,1.6483588032134477,0.7410860270261765,0.5112752914428711,0.8327887654304504,0.9553175568580627,0.33873599767684937,0.5463026165962219,0.7148183584213257,0.00788693968206644,0.17842267673509907,0.00046344696969697046,0.41064968464683094,0.2904296991519252,0.3239268103005969,0.49244253431312596,0.6859303485468622,4.460626731166973,9875.415874679888,,
vocalise,Base1,0,2,1.517240047454834,0.01724004745483443,0.00036888122558664804,0.5,-16.07198028761278,-21.43198028761278,mf,1,0.0,1.0375696400186243,0.42083078920841216,0.14910879731178284,0.5201889872550964,0.5082891583442688,0.24871423840522766,0.20191055536270142,0.6082669496536255,0.3531101942062378,0.17019005173118998,0.0003176136363636367,0.4728794088949427,0.39277453476009855,0.5494869926870889,0.3631313763205962,0.7134761706897922,4.460626731166973,9875.415874679888,,
vocalise,Base1,0,3,1.5181350708007812,0.018135070800781028,0.017628717422486062,0.5,-16.746733394076717,-22.106733394076716,mp,0,1.6175780964515205,2.8723396593483486,0.48754001706838607,0.3094247281551361,0.6311175227165222,0.5352090001106262,0.1554744839668274,0.33374255895614624,0.6692637801170349,0.3657274544239044,0.16431202163547287,0.00020823863636363618,0.4095538374829473,0.4533274398495192,0.5387601438531404,0.4889517745056211,0.6901233647250554,4.460626731166973,9875.415874679888,,
vocalise,Base1,0,3,1.528156042098999,0.028156042098997913,0.03577976226806712,0.5,-16.665119812758338,-22.025119812758337,mp,0,1.6991916777698997,2.9539532406667277,0.47965328171849253,0.211588054895401,0.5171024799346924,0.7218377590179443,0.231730118393898,0.26385805010795593,0.6525123715400696,0.3435820937156677,0.1614763633070328,0.00013532196969696974,0.47304405049888865,0.3483659874813256,0.5153059516339907,0.35426849042999037,0.7097704186254586,4.460626731166973,9875.415874679888,,
vocalise,Base1,0,4,1.8177099227905273,0.017709922790524413,0.06395773887634348,0.5,-17.440675611881332,-22.80067561188133,mp,0,0.9236358786469054,2.1783974415437335,0.4332914933562279,0.17318430542945862,0.5751973390579224,0.5124044418334961,0.1358262300491333,0.26043927669525146,0.6139594912528992,0.35990941524505615,0.15229555824180668,-0.00011988636363636368,0.45430358789616676,0.4246999151445095,0.516377556413874,0.5095990861806616,0.7021603559317132,4.460626731166973,9875.415874679888,,
vocalise,Base1,0,5,1.464176893234253,-0.03582310676574818,0.08169078826904297,0.5,-17.16447021271311,-22.52447021271311,p,0,3.7093644036087845,4.964125966505616,0.7325459927320481,0.6247885823249817,0.7472388744354248,0.9045504331588745,0.5095506906509399,0.6946806907653809,0.6174207329750061,0.0321028009057045,0.1583565735656721,-0.00011988636363636368,0.5390181406099845,0.28095224360855386,0.35888793178217715,0.3974720686910941,0.7195886249795242,4.460626731166973,9875.415874679888,,
vocalise,Base1,0,5,1.5135838985443115,0.013583898544310857,0.04588580131530762,0.5,-16.0224250284818,-21.382425028481798,mp,0,2.341886462046439,3.596648024943267,0.5551766812801361,0.3715711534023285,0.6698346138000488,0.6965459585189819,0.15919294953346252,0.3935225307941437,0.7458363771438599,0.35859882831573486,0.1709874502817245,0.0003176136363636363,0.5099005552285801,0.5099403683575439,0.5667784490467651,0.5483687211995536,0.7731608697625502,4.460626731166973,9875.415874679888,,
vocalise,Base1,0,6,1.8225958347320557,0.02259583473205362,0.05948591232299805,0.5,-16.01288261866481,-21.37288261866481,mf,1,0.0,1.0966673089665946,0.4232397221028805,0.2595115005970001,0.5390180349349976,0.4172813892364502,0.2495635598897934,0.47765153646469116,0.668122410774231,0.34203702211380005,0.17652891312711388,0.0009738636363636364,0.5256717051522289,0.3818976793295439,0.5014233918017239,0.4165852987402108,0.7542070265219691,4.460626731166973,9875.415874679888,,
vocalise,Base1,0,7,1.187892198562622,-0.012107801437376997,0.08210272789001394,0.5,-15.40790901464601,-20.767909014646012,mf,0,0.4468793500885653,1.7016409129853933,0.7320815980434419,0.5503185391426086,0.7915266156196594,0.9811446070671082,0.320404589176178,0.5093266367912292,0.6401098966598511,0.021205224096775055,0.1749547714707906,0.00031761363636363584,0.3526532552658708,0.3211834423721103,0.36308583656526033,0.45308738434227586,0.5931610906627605,4.460626731166973,9875.415874679888,,
