piece,run,episode,stroke,duration_s,duration_error_s,drift_s,window_s,dbfs_raw,dbfs_model,dynamic_zone,dynamic_zone_hit,dynamic_distance_db,dynamic_centre_error_db,quality_eff,overall,tone_quality,attack_quality,release_quality,bow_control,dynamic_accuracy,defect_score,bow_speed_measured,depth_m,bow_position,force_mean,force_std,torque_mean,torque_max,bow_usage_m,smoothness_jerk,logged_quality,logged_tone
yunpiece,Base1,0,1,0.1983354091644287,0.004585409164428733,0.0,0.19834467120181407,-31.90966609850622,-37.26966609850622,p,0,8.526308356390668,-9.781069919287496,0.04524968862533568,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.111894282550693,-0.0009590909090909091,0.5207314801541806,0.5041902310202396,0.5387525154076545,0.5095148875137228,0.5777177597513531,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,2,0.19645357131958008,0.0027035713195801003,0.0005426406860351562,0.1964625850340136,-23.07463071841289,-28.43463071841289,p,1,0.0,-0.9460345391941658,0.4231626631800005,0.4140530526638031,0.5092896223068237,0.45768582820892334,0.21019548177719116,0.2916155457496643,0.38655197620391846,0.7084157466888428,0.11249113155456539,-0.0009590909090909091,0.521257326512212,0.8444488928328838,0.9004498022688817,0.4304018153772967,0.508886420910383,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,3,0.2094736099243164,0.01572360992431643,0.0006279945373535156,0.20945578231292517,-22.202062309998887,-27.562062309998886,p,1,0.0,-0.07346613078016162,0.328970253960678,0.28385478258132935,0.4471183717250824,0.31992632150650024,0.1323482245206833,0.25148576498031616,0.3871186375617981,0.738063633441925,0.10716806748537795,-0.0009590909090909091,0.5235967246615547,0.8692705534240472,1.011788864182454,0.5397473052492086,0.6166157616837299,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,4,0.20848751068115234,0.014737510681152366,0.0005233287811279297,0.20848072562358277,-21.569292708462342,-26.92929270846234,p,1,0.0,0.5593034707563831,0.4332138984967592,0.3092682361602783,0.43570050597190857,0.5941673517227173,0.12544368207454681,0.3083300292491913,0.32788893580436707,0.6786344051361084,0.10819675172285217,-0.0009590909090909091,0.520209360048389,0.9132330508982408,0.983903660749993,0.429942305744816,0.5076117139409594,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,5,0.4781513214111328,-0.0218486785888673,0.0003418922424316406,0.47816326530612246,-19.54939219529342,-24.90939219529342,p,0,1.324442421028472,2.5792039839253036,0.6272613793825458,0.6815009117126465,0.6354243159294128,0.7190058827400208,0.4020591974258423,0.7731810808181763,0.6800997257232666,0.3720499873161316,0.11948073404006597,-0.0009590909090909091,0.5560341475944838,0.3357072805072915,0.4581971063641391,0.5760161146780696,0.6388487830521684,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,6,0.2778446674346924,0.0028446674346923606,0.0005207061767578125,0.2778458049886621,-22.969317272615726,-28.329317272615725,p,1,0.0,-0.8407210933970006,0.5027704616580849,0.6350245475769043,0.7160861492156982,0.3711836636066437,0.3439157009124756,0.8420928120613098,0.847743809223175,0.5848772525787354,0.11238990226156588,-0.0009590909090909091,0.5800348394256489,0.3740050233332571,0.37332951644083606,0.47837944480329936,0.6078132285751985,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,7,0.28025078773498535,0.005250787734985329,0.000396728515625,0.2802721088435374,-22.919841252026423,-28.279841252026422,p,1,0.0,-0.7912450728076976,0.4434163483930715,0.6630010604858398,0.8457494378089905,0.2398267388343811,0.04360990598797798,0.819871187210083,0.6087707877159119,0.37854892015457153,0.11189727938178301,-0.0009590909090909091,0.5795751991260947,0.38379911069075184,0.4651395528230554,0.5916775528159225,0.6440837310572205,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,8,0.9747662544250488,-0.025233745574951394,0.0005939006805419922,0.5,-19.487183991568216,-24.847183991568215,p,0,1.3866506247536776,2.6414121876505092,0.4206718675792217,0.15040384232997894,0.25914210081100464,0.9584169983863831,0.27928730845451355,0.09691666811704636,0.39350640773773193,0.010800791904330254,0.11697652714731022,-0.0009590909090909091,0.4998243289915083,0.3135417439108619,0.2394683470689342,0.4045934071202413,0.5926467031417033,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,9,0.7216236591339111,-0.02837634086608909,0.00017118453979492188,0.5,-18.750181366015397,-24.110181366015397,p,0,2.1236532503064964,3.378414813203328,0.34835353568196303,0.09479615092277527,0.4363965392112732,0.5268695950508118,0.040255144238471985,0.2055990993976593,0.3721601068973541,0.05604419857263565,0.11895701407801282,-0.0009590909090909091,0.47300616739094,0.1832247077846152,0.23388578015580622,0.5086242890097369,0.5891215829989117,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,10,0.20499539375305176,0.01124539375305178,0.00044536590576171875,0.20498866213151928,-26.103702024029506,-31.463702024029505,p,0,2.7203442819139525,-3.9751058448107806,0.23620467312397508,0.34293317794799805,0.5115692019462585,0.03954397514462471,0.10929456353187561,0.35677337646484375,0.28629598021507263,0.6815150380134583,0.1052516782306945,-0.0009590909090909091,0.533071605370138,0.6130416694023942,0.6932978523379841,0.4458870510757313,0.5460633669327837,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,11,0.20546698570251465,0.01171698570251467,0.00041413307189941406,0.20546485260770975,-22.96859780684942,-28.32859780684942,p,1,0.0,-0.840001627630695,0.3405349341885081,0.48958247900009155,0.4547482430934906,0.2750791609287262,0.18585233390331268,0.29612234234809875,0.4654456675052643,0.7204369306564331,0.10589879062936977,-0.0009590909090909091,0.5353419695989678,0.9102857837765997,1.0728255328476586,0.5594939099312278,0.6345096299871558,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,12,0.20250535011291504,0.008755350112915061,0.0006830692291259766,0.20251700680272108,-22.385660854906135,-27.745660854906134,p,1,0.0,-0.25706467568740976,0.36691344712079116,0.30924075841903687,0.3132718503475189,0.5015965104103088,0.12362023442983627,0.32354414463043213,0.5552127957344055,0.5985103845596313,0.10705618822034184,-0.0009590909090909091,0.533319226514856,1.0167801176030975,1.126852894149655,0.44670072271469685,0.4963471580681988,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,13,0.28009486198425293,0.0050948619842529075,0.0004372596740722656,0.2800907029478458,-21.04534343297741,-26.40534343297741,p,1,0.0,1.083252746241314,0.5634184021368289,0.5550394058227539,0.7241482138633728,0.5446197986602783,0.36456605792045593,0.4691871404647827,0.7966704368591309,0.4557526707649231,0.11089904724609373,-0.0009590909090909091,0.5434818414257753,0.575631129951187,0.7237724815028259,0.5610685937936822,0.6225647984281151,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,14,0.27909088134765625,0.004090881347656228,0.00028204917907714844,0.27909297052154197,-22.753211502469025,-28.113211502469024,p,1,0.0,-0.6246153232502998,0.4463016316000623,0.5530136823654175,0.6016036868095398,0.3717889189720154,0.26142212748527527,0.545933723449707,0.2944960594177246,0.385221004486084,0.11290693236509404,-0.0009590909090909091,0.5425207065718597,0.5060956938580934,0.6091577989509572,0.44508376406802186,0.5444703476125368,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,15,0.2791597843170166,0.004159784317016579,0.0004048347473144531,0.2791609977324263,-23.794250917744012,-29.15425091774401,p,0,0.41089317562845906,-1.6656547385252871,0.3820837295927531,0.5771239399909973,0.7122092247009277,0.20312871038913727,0.045414380729198456,0.5328020453453064,0.4622967839241028,0.3825753331184387,0.1121460877061861,-0.0009590909090909091,0.5431482357878462,0.4767540845378043,0.5709630450048262,0.5596409398787471,0.6077099091740858,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,16,0.2779521942138672,0.0029521942138671653,0.0008895397186279297,0.2779591836734694,-23.14788635452201,-28.50788635452201,p,1,0.0,-1.0192901753032864,0.4033763891486113,0.5910906791687012,0.6653185486793518,0.2613735496997833,0.11906465888023376,0.5319174528121948,0.45403239130973816,0.3950178027153015,0.11227623058754667,-0.0009590909090909091,0.5432122604892095,0.520679937939836,0.6076949839212414,0.4482577101366693,0.5486248567586737,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,17,0.2784390449523926,0.003439044952392556,0.0005061626434326172,0.27843537414965985,-23.02769344129027,-28.38769344129027,p,1,0.0,-0.899097262071546,0.4324032347950051,0.6391435265541077,0.7395046353340149,0.2755592465400696,0.10317941755056381,0.5264021754264832,0.5063078999519348,0.3899577856063843,0.1113428745418128,-0.0009590909090909091,0.5425136967539039,0.49955340443143975,0.6019408015634466,0.5586393459105148,0.6050160142956174,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,18,0.2799696922302246,0.004969692230224587,0.00041747093200683594,0.27997732426303856,-23.87666778270553,-29.236667782705528,p,0,0.4933100405899751,-1.7480716034868031,0.37308818313217507,0.5832846760749817,0.6848254799842834,0.19413554668426514,0.05344569683074951,0.523449718952179,0.5507304668426514,0.3780985474586487,0.11074688183161703,-0.0009590909090909091,0.5427655470869885,0.49394937094692287,0.5274528863973805,0.44978140459960586,0.565961039985556,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,19,0.20141124725341797,0.007661247253417991,0.0005056858062744141,0.20142857142857143,-28.863663687113878,-34.22366368711388,p,0,5.4803059449983245,-6.7350675078951525,0.33269947334590044,0.4158309996128082,0.7257290482521057,0.12487049400806427,0.13611948490142822,0.3881717026233673,0.44540584087371826,0.42982059717178345,0.111620460280963,-0.0009590909090909091,0.5347609794046226,0.652286070724936,0.779070146453594,0.5503381191272759,0.6168830489929986,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,20,0.1989727020263672,0.00522270202636721,0.0005667209625244141,0.1989795918367347,-23.17797594662693,-28.53797594662693,p,1,0.0,-1.0493797674082046,0.4068815073617982,0.4272271990776062,0.31669309735298157,0.5102428793907166,0.25805121660232544,0.39312294125556946,0.5397171378135681,0.7038322687149048,0.11278861352078949,-0.0009590909090909091,0.5332245446692254,0.9385466234879951,0.9975591060269541,0.44532255629245626,0.5332211972528021,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,21,0.2003490924835205,0.00659909248352053,0.0005567073822021484,0.20034013605442177,-22.590899681329077,-27.950899681329076,p,1,0.0,-0.46230350211035187,0.4140030482657251,0.34696632623672485,0.595701277256012,0.3585490584373474,0.28196242451667786,0.23945702612400055,0.6201843619346619,0.7240705490112305,0.11165521840813242,-0.0009590909090909091,0.5348196636074247,0.8573011797693127,1.0603954792099524,0.5557569948711393,0.6351906646666536,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,22,0.2007153034210205,0.00696530342102053,0.0003204345703125,0.20072562358276644,-22.216674348564528,-27.576674348564527,p,1,0.0,-0.08807816934580259,0.44321674169370406,0.34306028485298157,0.34372982382774353,0.5908361673355103,0.2855777442455292,0.3853338062763214,0.5549983382225037,0.7114170789718628,0.11164306359907294,-0.0009590909090909091,0.5336096580289682,0.9631191646731514,1.0246137337706307,0.4494744841682066,0.5216017212390606,5.134420036171004,11358.52294555794,,
yunpiece,Base1,0,23,0.5300827026367188,0.03008270263671864,0.0004520416259765625,0.5300907029478458,-19.940982241704084,-25.300982241704084,p,0,0.9328523746178092,2.187613937514641,0.5695434600114823,0.6445150375366211,0.7515636086463928,0.2628268599510193,0.45970577001571655,0.6807504892349243,0.5119842886924744,0.5511261224746704,0.10717248848930563,-0.0009590909090909091,0.5511962766517826,0.4305213549577127,0.5742114915889746,0.5496103076674839,0.7057961084186284,5.134420036171004,11358.52294555794,,
